r,g,b,name,class
0,25,255,235,Cham
0,21,255,236,Cham
0,17,255,237,Cham
0,12,255,238,Cham
0,8,255,239,Cham
0,4,255,240,Cham
0,0,255,241,Cham
4,0,255,242,Cham
8,0,255,243,Cham
12,0,255,244,Cham
16,0,255,245,Cham
21,0,255,246,Cham
25,0,255,247,Cham
29,0,255,248,Cham
34,0,255,249,Cham
38,0,255,250,Cham
42,0,255,251,Cham
46,0,255,252,Cham
51,0,255,253,Cham
55,0,255,254,Cham
59,0,255,255,Cham
63,0,255,256,Cham
67,0,255,257,Cham
72,0,255,258,Cham
76,0,255,259,Cham
80,0,255,260,Cham
84,0,255,261,Cham
89,0,255,262,Cham
93,0,255,263,Cham
97,0,255,264,Cham
102,0,255,265,Cham
106,0,255,266,Tim
110,0,255,267,Tim
114,0,255,268,Tim
119,0,255,269,Tim
123,0,255,270,Tim
127,0,255,271,Tim
131,0,255,272,Tim
135,0,255,273,Tim
140,0,255,274,Tim
144,0,255,275,Tim
148,0,255,276,Tim
152,0,255,277,Tim
157,0,255,278,Tim
161,0,255,279,Tim
165,0,255,280,Tim
170,0,255,281,Tim
174,0,255,282,Tim
178,0,255,283,Tim
182,0,255,284,Tim
187,0,255,285,Tim
191,0,255,286,Tim
195,0,255,287,Tim
199,0,255,288,Tim
203,0,255,289,Tim
208,0,255,290,Tim
212,0,255,291,Tim
216,0,255,292,Tim
220,0,255,293,Tim
225,0,255,294,Tim
229,0,255,295,Tim
233,0,255,296,Tim
238,0,255,297,Tim
242,0,255,298,Tim
246,0,255,299,Tim
250,0,255,300,Tim
255,0,255,301,Tim
255,0,250,302,Tim
255,0,246,303,Tim
255,0,242,304,Tim
255,0,238,305,Tim
255,0,233,306,Tim
255,0,229,307,Tim
255,0,225,308,Tim
255,0,220,309,Tim
255,0,216,310,Tim
255,0,212,311,Tim
255,0,208,312,Tim
255,0,203,313,Tim
255,0,199,314,Tim
255,0,195,315,Tim
255,0,191,316,Tim
255,0,187,317,Tim
255,0,182,318,Tim
255,0,178,319,Tim
255,0,174,320,Tim
255,0,170,321,Tim
255,0,165,322,Tim
255,0,161,323,Tim
255,0,157,324,Tim
255,0,152,325,Tim
